Trial,Policy,Message_ID,Time,Lag_Score,Reward,Partition,Weight_A,Weight_B
2,neuroroute,86,6.52,50.0,0.5,1,0.5,0.505
2,neuroroute,87,6.59,5.0,0.95,0,0.5045,0.505
2,neuroroute,88,6.66,5.0,0.95,0,0.5045,0.505
2,neuroroute,89,6.74,50.0,0.5,1,0.5,0.505
2,neuroroute,90,6.81,5.0,0.95,0,0.5045,0.505
2,neuroroute,91,6.88,50.0,0.5,1,0.5,0.505
2,neuroroute,92,6.96,5.0,0.95,0,0.5045,0.505
2,neuroroute,93,7.03,5.0,0.95,0,0.5045,0.505
2,neuroroute,94,7.11,5.0,0.95,0,0.5045,0.505
2,neuroroute,95,7.18,5.0,0.95,0,0.5045,0.505
2,neuroroute,96,7.26,50.0,0.5,1,0.5,0.505
2,neuroroute,97,7.33,5.0,0.95,0,0.5045,0.505
2,neuroroute,98,7.4,5.0,0.95,0,0.5045,0.505
2,neuroroute,99,7.47,50.0,0.5,1,0.5,0.505
2,neuroroute,100,7.55,5.0,0.95,0,0.5045,0.505
